#{"t_start": 1681589345.1900601, "env_id": null}
r,l,t
-81.676667,56,24.489153
-98.032222,32,24.509948
-96.32963,66,24.553347
-70.919259,66,24.599028
-97.563704,45,24.630356
-38.86,17,24.641723
-84.015926,14,24.652191
-77.397037,45,24.682383
156.02037,89,24.741617
-98.734815,17,24.75446
-72.57963,151,24.854534
-37.132222,53,24.890898
-77.705556,32,24.912223
-23.831481,17,24.923564
-22.48037,39,24.950451
-79.727407,95,25.011071
-88.815926,18,25.023499
-77.499259,44,25.052995
-79.443333,87,25.117353
-22.988148,34,25.143012
-38.838148,19,25.157557
-80.248519,74,25.21099
-82.275185,45,25.243297
-98.821481,22,25.257798
-67.935556,35,25.282762
-21.124444,62,25.324079
-85.274074,80,25.376173
-88.651852,24,25.392254
-87.488148,38,25.418116
-66.811481,142,25.519499
-63.940741,96,25.584543
-99.164815,12,25.593159
18.642222,151,25.694975
7.888148,47,25.726928
-80.818519,70,25.77406
-96.846667,57,25.818533
-80.781481,67,25.863217
-101.070741,80,25.91643
-99.374074,14,25.926921
-98.412963,139,26.020626
-83.086296,30,26.040527
-98.103704,35,26.066201
-99.517037,9,26.072261
-84.734074,92,26.135272
-83.055185,30,26.156303
-97.168889,52,26.190501
-34.142963,14,26.199836
-85.793333,69,26.246077
-80.745926,67,26.289371
-38.745556,21,26.302389
-23.299259,29,26.323669
-54.479259,94,26.390487
-72.229259,45,26.422155
-81.024074,66,26.468318
12.498519,35,26.495742
-98.650741,22,26.511308
-83.419259,27,26.530968
-106.203704,50,26.56288
-98.505185,36,26.587845
-83.267407,30,26.610435
-53.254444,106,26.68104
-66.064815,61,26.724818
-38.233704,32,26.75962
-87.514815,64,26.810704
-80.267037,80,26.863219
-84.208519,103,26.930725
-98.585185,27,26.949604
-82.739259,39,26.97706
-95.550741,71,27.026475
-98.362593,30,27.046406
258.95,151,27.15201
-97.938889,28,27.171091
-97.96037,35,27.198886
-83.806667,20,27.213291
-88.295926,26,27.230409
-15.992593,61,27.271558
-82.186296,46,27.304003
-80.926667,69,27.351214
-90.601111,78,27.403833
-64.127778,98,27.469147
-37.92037,32,27.490244
-88.144444,28,27.5086
-33.652963,21,27.521943
-93.267778,28,27.54045
-12.154074,136,27.630059
-80.710741,73,27.681388
-68.959259,17,27.692524
-64.252963,90,27.752633
-97.988148,36,27.777485
-90.975556,68,27.82276
-84.609259,84,27.883473
-83.234815,25,27.902738
-88.692963,35,27.925461
-82.761852,37,27.952496
-78.42037,25,27.969063
-98.702593,21,27.983092
-82.652963,35,28.007645
-98.842222,24,28.024354
-98.867778,17,28.035893
-89.059259,16,28.047103
-82.450741,41,28.075063
-81.383704,55,28.113806
-88.141111,36,28.137996
8.357037,151,28.241592
-86.752222,49,28.275015
-22.76,42,28.303956
-65.781852,73,28.352012
-13.40037,25,28.36842
-36.031111,72,28.417401
-80.891111,61,28.457291
-82.73037,41,28.485141
-23.018519,35,28.507334
-82.293704,43,28.536211
-86.097407,60,28.579926
-52.695185,125,28.661699
-83.035185,32,28.682302
-61.62963,55,28.718588
-85.244074,79,28.771432
-80.065926,80,28.824952
-85.41,77,28.875281
-78.072593,27,28.894207
33.183704,151,28.996694
-5.822222,151,29.095594
-23.222222,32,29.118414
-92.375556,44,29.147941
-38.479259,38,29.173529
-99.258519,14,29.182387
-21.567778,58,29.22057
-22.726296,36,29.24949
-98.886667,21,29.263965
-37.484444,47,29.295727
-65.246296,86,29.352256
-82.820741,128,29.439457
77.328148,36,29.463145
-99.262222,13,29.472916
-78.151852,31,29.492753
-39.10037,13,29.502223
-36.882222,62,29.541272
-87.802222,36,29.564759
-99.390741,90,29.626608
-38.933333,21,29.641041
-40.919259,73,29.68881
-62.740741,39,29.717018
-72.424444,40,29.743606
-27.392222,34,29.765396
-65.203704,79,29.818059
-97.857778,69,29.862322
-27.655926,36,29.885473
-86.568519,53,29.927159
-102.04,71,29.970744
7.42963,41,29.997183
-82.036667,50,30.031106
-66.151481,61,30.072177
89.271852,69,30.121246
-93.723704,22,30.135251
-83.391852,27,30.154566
-23.847407,20,30.168084
-92.017037,55,30.205886
-82.618148,34,30.228384
-78.999259,107,30.299688
-78.197037,31,30.321199
-23.771852,21,30.335362
-93.885185,14,30.343831
-78.981111,115,30.422795
-56.659259,55,30.459888
-94.251852,13,30.468292
-81.785185,52,30.50347
-99.143333,13,30.511911
-38.408148,27,30.530722
-83.25037,29,30.549947
63.882593,151,30.6574
-81.712222,55,30.693941
-96.944074,56,30.732234
-59.019259,16,30.742998
-97.930741,45,30.773167
-83.19037,31,30.794604
-83.664444,23,30.810804
33.43963,52,30.846121
-81.160741,61,30.886281
-87.958519,30,30.905946
-39.433333,11,30.913859
-85.75963,63,30.955606
