#{"t_start": 1681844333.6413796, "env_id": null}
r,l,t
-99.698657,32,237.610797
-6.796813,201,238.268793
-22.584802,201,239.064713
-26.277995,183,239.690696
-99.6419,35,240.23822
-23.156601,201,241.036253
17.256313,180,241.794234
-3.119487,201,242.547932
14.281271,201,243.296131
-103.294127,26,243.321147
-104.104566,62,243.380059
-42.885975,69,243.834758
-28.470233,201,244.47672
-101.074911,10,245.02511
-39.781804,23,245.047633
-96.869951,92,245.141818
624.841371,201,245.940682
-101.079297,27,245.966014
-26.992496,201,246.630268
70.693443,93,247.17062
-20.406965,201,247.949725
-103.429752,53,248.440589
-41.053386,67,248.504036
-92.204027,139,249.034259
10.443733,201,249.73447
-98.644581,40,249.77188
-48.777332,83,250.207889
-115.013278,132,250.859582
-38.535987,44,250.900219
7.166195,201,251.534742
-28.593055,201,252.239037
-23.175835,201,252.995718
-38.251813,150,253.613462
16.068137,201,254.220386
-12.53163,201,255.041003
-2.223816,201,255.733449
624.920768,201,256.454536
-103.450757,80,256.943364
-103.627585,69,257.008703
-96.238828,91,257.477216
2.234085,201,258.162474
-17.743833,201,258.879108
-100.03947,14,258.89358
-33.60858,121,259.469273
-41.678378,123,260.092261
-23.208766,201,260.850465
-6.000875,201,261.470971
-17.945103,201,262.31491
2.115026,201,262.991703
7.408603,201,263.746732
295.235784,201,264.44406
-43.141455,160,265.152617
-101.314204,12,265.164784
-94.513503,188,265.716813
17.069118,201,266.564244
-104.190593,104,267.062374
-37.076784,49,267.112016
-20.851076,201,267.720842
-39.995207,11,267.731701
-46.331718,72,267.799184
38.173869,178,268.452745
-35.395006,78,268.524561
-109.343131,68,269.008103
-100.237593,17,269.024734
-43.160696,47,269.069877
-102.819442,43,269.460598
-101.090265,18,269.477942
624.553056,201,270.08657
-36.231288,112,270.191448
-23.018546,201,270.970919
-7.791734,201,271.671521
-3.626068,201,272.479361
-39.21823,23,272.502443
-96.090046,73,272.947719
2.498839,201,273.574812
-99.330439,77,274.160025
-34.167123,174,274.742332
-34.161282,99,275.390922
-40.664322,41,275.431308
-15.885051,201,276.153467
-22.785047,201,276.818332
-43.095985,81,276.892987
7.682363,201,277.676262
-106.660287,161,278.344304
334.889877,141,278.930679
-36.62095,99,279.50351
-9.460797,201,280.202214
-14.555076,201,281.00578
-43.790125,43,281.047345
-102.227043,56,281.518357
-15.831473,201,282.16153
-40.99514,12,282.706077
-100.650981,45,282.753072
-18.016987,201,283.340694
-100.819546,10,283.910449
-103.291712,36,283.946077
-21.76345,201,284.62467
6.825584,201,285.521205
-97.512989,194,286.177929
9.042181,201,287.080287
-17.818407,201,287.795175
-12.70331,201,288.562629
15.95002,201,289.277143
2.301378,201,289.994467
-6.327301,201,290.8757
-2.344155,201,291.475088
-24.466176,201,292.262887
12.941577,201,292.960445
-97.981308,38,292.997278
-7.835998,201,293.597954
-40.784999,93,294.270663
-1.629697,201,295.104574
-21.016147,201,295.82491
-40.485805,36,296.372029
-102.580837,140,296.983607
-100.194546,94,297.073495
-101.117365,72,297.567248
-37.944342,58,297.621115
-37.941089,25,298.017654
2.248567,201,298.67305
-22.102109,201,299.427414
-41.319613,115,300.010096
