#{"t_start": 1682030397.8749208, "env_id": null}
r,l,t
-118.447129,46,8.547793
-121.209326,41,8.556458
-39.54825,10,8.559056
-119.671739,38,8.567815
-18.458097,11,8.570542
-112.845883,33,8.577965
-39.605615,15,8.58153
-27.341864,53,8.593117
-104.556756,43,8.601972
37.408645,95,8.621646
-66.482652,57,8.633332
-39.188259,10,8.636389
-114.700025,44,8.645657
4.057023,26,8.651386
-13.465551,11,8.654143
-98.753121,12,8.657652
-68.477411,61,8.669996
-107.160886,24,8.678411
-41.705528,57,8.68987
-97.604584,23,8.695792
-99.343285,10,8.698424
-110.457879,42,8.707054
-102.444512,36,8.714724
-58.248107,35,8.723076
-42.481314,30,8.729843
-99.192058,11,8.73305
-99.186211,10,8.735593
-38.574086,10,8.738638
-108.138179,26,8.744806
-115.681524,41,8.753207
-44.956271,21,8.757864
-39.161989,10,8.761154
-44.494074,24,8.766474
-47.613351,22,8.771534
-155.585377,95,8.791814
-7.976799,14,8.795866
-98.933525,11,8.798549
-39.897073,15,8.802104
-122.740259,99,8.822252
-13.51785,10,8.825345
-90.779326,41,8.833999
-105.357003,18,8.837884
