#{"t_start": 1682012610.2607944, "env_id": null}
r,l,t
-134.700698,73,6.686285
-181.20617,47,6.69608
-158.512406,14,6.699706
-100.136975,13,6.702868
-134.717877,32,6.709814
-107.947078,23,6.714855
-150.243998,11,6.718019
-192.306457,35,6.725521
-421.586761,75,6.742944
-165.029906,43,6.752676
-206.874053,40,6.761349
-163.751334,24,6.766805
-350.973913,72,6.78232
-159.799533,16,6.786212
-184.048579,86,6.803986
-190.978283,29,6.81037
-168.528143,11,6.81303
-98.57146,11,6.815805
-171.488139,24,6.82171
-114.952713,23,6.826901
-513.578027,126,6.851944
-133.452087,22,6.856926
-200.938841,24,6.862594
-204.097644,90,6.880563
-109.857988,26,6.886362
-155.114773,10,6.888919
-152.785107,23,6.894319
-270.368942,69,6.908502
-166.581185,36,6.916037
-297.565561,92,6.934417
-114.157791,29,6.941088
-162.197346,14,6.944516
-108.642829,11,6.947217
-405.324246,87,6.968087
-100.936567,10,6.971245
-125.428975,30,6.977803
-150.171426,27,6.98381
-102.106004,11,6.986728
-115.370914,11,6.989901
-148.193668,10,6.992349
-99.930566,10,6.995365
-115.216778,11,6.998186
-194.659464,42,7.007443
-104.659925,12,7.010468
-214.48211,39,7.01881
-140.290754,46,7.028594
-103.739702,17,7.032815
-549.013614,150,7.063878
-95.752527,26,7.069573
-160.108261,36,7.077184
-148.42925,10,7.080085
-155.071545,12,7.083093
-133.34174,34,7.090335
-192.649246,21,7.09481
-149.083164,14,7.098672
-100.82799,12,7.101545
-228.957621,51,7.112316
-176.87456,12,7.115229
-212.400481,65,7.128926
-201.420647,36,7.136717
-117.339669,42,7.145822
-155.122253,15,7.150171
-148.180909,16,7.15448
-126.190815,44,7.163647
-106.650204,10,7.166232
-175.458383,98,7.1889
-110.143889,33,7.19641
-257.838787,50,7.207704
-103.432837,37,7.215756
-147.272208,15,7.219231
-105.245433,24,7.225187
-99.416548,11,7.228173
-170.763331,17,7.232272
-172.674179,34,7.239707
-183.237557,56,7.251698
-180.136733,57,7.263353
-134.797968,33,7.270413
-134.546388,21,7.275068
-123.057962,10,7.27784
-250.682385,47,7.287295
-158.378997,19,7.291501
-281.252002,62,7.304016
-170.095723,19,7.308681
-150.504742,10,7.311288
-101.253838,23,7.316258
-171.80916,24,7.321378
-147.428258,32,7.328719
-182.281636,55,7.340153
-152.897287,10,7.342718
-115.13425,29,7.348887
-156.51254,61,7.362123
-156.564389,12,7.365057
-137.517438,37,7.372881
-169.873343,65,7.386038
-156.051357,33,7.393162
-227.787435,24,7.400756
-319.780574,62,7.413934
-173.785087,21,7.418849
-280.829079,104,7.440918
-235.763858,75,7.457255
-97.230881,14,7.460692
-109.913605,11,7.463432
-105.652983,12,7.466864
-102.971018,12,7.469815
-98.255217,12,7.472818
-192.755775,21,7.477456
-108.275012,10,7.480586
-173.953063,39,7.488785
-101.769108,10,7.491177
-149.776142,16,7.494692
-105.989744,12,7.497977
-146.275467,17,7.502129
-148.039489,11,7.504704
-114.380732,21,7.509176
-159.544291,18,7.513422
-167.593223,15,7.517024
-101.576616,11,7.519665
-97.406291,13,7.522691
-97.435035,14,7.526304
-106.711979,11,7.528989
-144.531587,33,7.536055
-133.191741,52,7.546794
-164.707687,42,7.556165
-403.875392,58,7.568585
-105.278586,10,7.571133
-125.470617,34,7.578275
-151.239761,13,7.58185
-103.99258,15,7.585305
-148.367366,10,7.587968
-150.110289,16,7.591803
-210.957998,32,7.599072
-152.973115,10,7.601526
-161.568405,10,7.60412
-149.963572,11,7.606741
-172.443234,41,7.617066
-115.977877,10,7.621404
-607.580939,102,7.647413
-104.045493,13,7.651104
-106.839089,25,7.657011
-108.915817,10,7.659866
-161.52809,12,7.662881
-104.912997,10,7.665383
-156.240589,16,7.669725
-170.783102,22,7.674645
-100.503551,10,7.677168
-227.777168,34,7.684667
-126.508386,35,7.692603
-764.371672,146,7.722107
-165.966233,10,7.724751
-167.110258,27,7.730764
-149.819082,14,7.734777
-156.212948,10,7.737284
-315.193805,49,7.748068
-107.124,11,7.750633
-244.454971,59,7.763141
-106.045771,21,7.768086
-98.424514,21,7.772745
-122.500418,37,7.780919
-101.233462,10,7.783751
-99.970564,23,7.788899
-190.191539,32,7.795744
-114.42102,47,7.805533
-340.020389,55,7.817225
-186.136051,37,7.825175
-172.631888,16,7.828917
-156.203014,60,7.841064
-151.198051,10,7.844072
-199.340358,70,7.861118
-232.03343,87,7.879267
